EC_protein,EC_accession,SE_protein,SE_accession
lipopolysaccharide signal transducer LapC,b2188,Inner membrane protein,STM4474
lipopolysaccharide transport system ATP binding protein LptB,b3201,LPS export ABC transporter ATP-binding protein,STM3319
lipopolysaccharide transport system protein LptA,b3200,LPS export ABC transporter substrate-binding protein,STM3318
lipopolysaccharide transport system protein LptC,b3199,LPS export ABC transporter periplasmic protein,STM3317
lipopolysaccharide transport system protein LptF,b4261,lipopolysaccharide ABC transporter permease,STM4479
lipopolysaccharide transport system protein LptG,b4262,lipopolysaccharide ABC transporter permease,STM4479
lipoprotein ChiQ,b0682,Uncharacterized lipoprotein,STM0688
lipoprotein implicated in Novobiocin resistance,b1379,heat shock protein hslJ,STM1648
lipoprotein NlpI,b3163,lipoprotein,STM3281
lipoprotein release complex - ATP binding subunit,b1117,lipoprotein ABC transporter ATP-binding protein,STM1218
lipoprotein release complex - inner membrane subunit,b1116,integral membrane protein ABC transporter,STM1217
lipoprotein release complex - inner membrane subunit,b1118,lipoprotein transporter subunit,STM1219
lipoprotein signal peptidase,b0027,signal peptidase II,STM0047
lipoprotein YecR,b1904,,
lipoprotein YedD,b1928,Uncharacterized lipoprotein,STM0688
lipoprotein YhdV,b3267,putative outer membrane lipoprotein,STM4223
lipoprotein YjbF,b4027,putative outer membrane lipoprotein,STM4223
lipoprotein YnbE,b1382,YnbE family lipoprotein,STM1645
lipoyl synthase,b0628,lipoyl synthase,STM0633
lipoyl(octanoyl) transferase,b0630,putative ligase in lipoate biosynthesis,STM0635
Lon protease,b0439,Lon protease,STM1068
long-chain acyl-CoA thioesterase FadM,b0443,thioesterase,STM1366
long-chain fatty acid outer membrane channel / bacteriophage T2 receptor,b2344,transport of long-chain fatty acids,STM2391
long-chain-fatty-acid&mdash;CoA ligase,b1805,long-chain-fatty-acid--CoA ligase,STM1818
low activity glyoxalase ElbB,b3209,glyoxalase,STM0409
low-affinity gluconate transporter,b4476,low affinity gluconate permease,STM3541
low-specificity L-threonine aldolase,b0870,low-specificity L-threonine aldolase,STM0934
LuxR family transcriptional regulator FimZ,b0535,DNA-binding response regulator,STM1391
"lysine 2,3-aminomutase",b4146,EF-P beta-lysylation protein,STM4333
lysine decarboxylase 1,b4131,lysine decarboxylase,STM2559
lysine decarboxylase 2,b0186,lysine decarboxylase,STM2559
lysine&mdash;tRNA ligase,b2890,lysine--tRNA ligase,STM3040
"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit",b2306,,
"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM",b2307,,
"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ",b2308,histidine transport system permease protein,STM2352
lysine/arginine/ornithine ABC transporter periplasmic binding protein,b2310,,
lysine:cadaverine antiporter,b4132,lysine:cadaverine antiporter,STM2558
lysine:H+ symporter,b2156,lysine transporter,STM2200
lysogenization regulator,b1132,unknown membrane associated protein,STM1233
lysophospholipase L2,b3825,lysophospholipase,STM3961
lysophospholipid transporter,b2835,lysophospholipid transporter,STM3009
lytic murein transglycosylase E,b1193,lytic murein transglycosylase,STM1799
m<sup>7</sup>GTP pyrophosphatase,b1087,septum formation inhibitor,STM3371
macrodomain Ori protein,b3764,hypothetical protein,STM0387
macrodomain Ter protein,b0956,Ter macrodomain-binding protein,STM1069
malate dehydrogenase,b3236,malate dehydrogenase,STM3359
malate dehydrogenase (oxaloacetate-decarboxylating),b1479,NAD-dependent malic enzyme,STM1566
malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>),b2463,NADP-dependent malic enzyme,STM2472
malate synthase A,b4014,malate synthase A,STM4183
malonyl-acyl carrier protein methyltransferase,b0777,malonyl-ACP O-methyltransferase,STM0796
maltodextrin glucosidase,b0403,maltodextrin glucosidase,STM0401
maltodextrin phosphorylase,b3417,maltodextrin phosphorylase,STM3514
maltose <i>O</i>-acetyltransferase,b0459,maltose O-acetyltransferase,STM0472
maltose ABC transporter ATP binding subunit,b4035,,
maltose ABC transporter membrane subunit MalF,b4033,,
maltose ABC transporter membrane subunit MalG,b4032,,
maltose ABC transporter periplasmic binding protein,b4034,,
maltose outer membrane channel / phage lambda receptor protein,b4036,maltoporin,STM4231
maltose regulon periplasmic protein,b4037,maltose regulon protein,STM4232
mandelate racemase/muconate lactonizing enzyme family protein RspA,b1581,bifunctional D-altronate/D-mannonate dehydratase,STM1505
mannitol-1-phosphate 5-dehydrogenase,b3600,mannitol-1-phosphate 5-dehydrogenase,STM3686
mannitol-specific PTS enzyme IICBA component,b3599,PTS mannitol transporter subunit IICBA,STM3685
mannose-1-phosphate guanylyltransferase,b2049,mannose-1-phosphate guanylyltransferase,STM2084
mannose-6-phosphate isomerase,b1613,mannose-6-phosphate isomerase,STM1467
mannose-specific PTS enzyme IIAB component,b1817,PTS mannose transporter subunit IIAB,STM1830
mannose-specific PTS enzyme IIC component,b1818,phosphoenolpyruvate--protein phosphotransferase,STM3003
mannose-specific PTS enzyme IID component,b1819,,
MAPEG family inner membrane protein YecN,b1869,putative inner membrane protein,STM1849
MarC family putative inner membrane protein YchE,b1242,hypothetical protein,STM0387
medium-chain-fatty-acid&mdash;CoA ligase,b1701,cyclohexanecarboxylate-CoA ligase,STM1350
melibiose:H<sup>+</sup>/Na<sup>+</sup>/Li<sup>+</sup> symporter,b4120,melibiose:sodium transporter,STM4299
membrane protein insertase YidC,b3705,membrane protein insertase,STM3842
membrane protein insertion efficiency factor,b4557,membrane protein insertion efficiency factor,STM3841
membrane-bound flavocytochrome MsrQ,b1972,sulfoxide reductase heme-binding subunit,STM3378
membrane-bound lytic murein transglycosylase A,b2813,murein transglycosylase A,STM2988
membrane-bound lytic murein transglycosylase B,b2701,murein transglycosylase B,STM2831
membrane-bound lytic murein transglycosylase C,b2963,murein transglycosylase C,STM3112
membrane-bound lytic murein transglycosylase D,b0211,murein transglycosylase D,STM0260
membrane-bound lytic murein transglycosylase F,b2558,lytic transglycosylase F,STM2567
membrane-depolarizing toxin TisB,b4618,type I toxin-antitoxin system toxin,STM3796B
metal phosphate:H<sup>+</sup> symporter PitA,b3493,anion permease,STM3589
metal-binding protein ZinT,b1973,,
metallo-&beta;-lactamase superfamily inner membrane protein YcaI,b0913,ComEC family protein,STM0983
metalloprotease LoiP,b2936,metalloprotease,STM0979
metalloprotease subunit TldD,b3244,metalloprotease,STM0979
metalloprotease subunit TldE,b4235,metalloprotease,STM0979
methionine adenosyltransferase,b2942,methionine adenosyltransferase,STM3090
methionine aminopeptidase,b0168,type I methionyl aminopeptidase,STM0215
methionine sulfoxide reductase A,b4219,peptide-methionine (S)-S-oxide reductase,STM4408
methionine sulfoxide reductase B,b1778,peptide-methionine (R)-S-oxide reductase,STM1291
methionine transaminase,b0600,methionine aminotransferase,STM0603
methionine&mdash;tRNA ligase,b2114,methionine--tRNA ligase,STM2155
methyl-accepting chemotaxis protein Tar,b1886,methyl-accepting chemotaxis protein II,STM4533
methyl-accepting chemotaxis protein Trg,b1421,methyl-accepting chemotaxis protein,STM1626
methyl-accepting chemotaxis protein Tsr,b4355,methyl-accepting chemotaxis protein II,STM4533
methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase,b1335,methylated-DNA--protein-cysteine methyltransferase,STM1659
methylglyoxal reductase DkgA,b3012,"2,5-didehydrogluconate reductase A",STM3165
methylglyoxal reductase DkgB,b0207,"2,5-didehydrogluconate reductase B",STM0255
methylglyoxal reductase YeaE,b1781,,
methylglyoxal synthase,b0963,methylglyoxal synthase,STM1076
Mg<sup>2+</sup> importing P-type ATPase,b4242,magnesium-translocating P-type ATPase,STM4456
miniconductance mechanosensitive channel MscM,b4159,miniconductance mechanosensitive channel,STM4347
miniconductance mechanosensitive channel YbdG,b0577,miniconductance mechanosensitive channel,STM4347
mischarged aminoacyl-tRNA deacylase,b1787,putative cytoplasmic protein,STM0383
Mlc titration factor,b1976,Protein,STM3404
MltA-interacting protein,b1782,MltA-interacting protein,STM1286
Mn2+ exporter,b1821,putative YebN family transport protein,STM1834
Mn<sup>2+</sup>/Fe<sup>2+</sup>: H<sup>+</sup> symporter MntH,b2392,divalent metal cation transporter,STM2408
moderate conductance mechanosensitive channel YbiO,b0808,mechanosensitive channel protein,STM0827
modulator of FtsH protease,b0970,BAX inhibitor protein,STM1085
modulator of Rho-dependent transcription termination,b0189,Rho-binding antiterminator,STM0237
modulator protein MzrA,b3096,EnvZ/OmpR regulon moderator,STM3227
molecular chaperone Hsp33,b3401,heat shock protein 33,STM3498
molybdate ABC transporter ATP binding subunit,b0765,,
molybdate ABC transporter membrane subunit,b0764,,
molybdate ABC transporter periplasmic binding protein,b0763,,
molybdenum cofactor guanylyltransferase,b3857,molybdenum cofactor guanylyltransferase,STM3994
molybdopterin adenylyltransferase,b0009,molybdopterin adenylyltransferase,STM0008
molybdopterin molybdotransferase,b0827,molybdopterin biosynthesis protein,STM0805
molybdopterin synthase catalytic subunit,b0785,molybdopterin synthase catalytic subunit,STM0806
molybdopterin synthase sulfur carrier subunit,b0784,molybdopterin biosynthesis protein,STM0805
molybdopterin-guanine dinucleotide biosynthesis adaptor protein,b3856,molybdopterin-guanine dinucleotide biosynthesis protein B,STM3993
molybdopterin-synthase adenylyltransferase,b0826,molybdopterin-synthase adenylyltransferase,STM0845
monoacetylchitobiose-6-phosphate hydrolase,b1734,6-phospho-beta-glucosidase,STM3051
motility protein A,b1890,flagellar motor stator protein,STM1923
motility protein B,b1889,flagellar motor protein,STM1922
multicopper oxidase CueO,b0123,putative multicopper oxidase,STM0168
multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter,b4337,Multidrug resistance protein,STM1166
multidrug efflux pump accessory protein AcrZ,b0762,,
multidrug efflux pump Bcr,b2182,Bcr/CflA family drug resistance efflux transporter,STM2221
multidrug efflux pump EmrD,b3673,multidrug transporter,STM0866
multidrug efflux pump MdfA / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter,b0842,multidrug transporter,STM0866
multidrug efflux pump MdtH,b1065,Multidrug resistance protein,STM1166
multidrug efflux pump MdtK,b1663,multidrug resistance protein,STM1425
multidrug efflux pump membrane fusion lipoprotein AcrA,b0463,pathogenicity island 1 effector protein,STM2884
multidrug efflux pump membrane fusion lipoprotein AcrE,b3265,multidrug exporter,STM3390
multidrug efflux pump membrane fusion protein EmrA,b2685,multidrug export protein,STM2814
multidrug efflux pump membrane fusion protein MdtA,b2074,,
multidrug efflux pump membrane subunit EmrB,b2686,MFS transporter,STM2574
multidrug efflux pump RND permease AcrB,b0462,multidrug exporter,STM3390
multidrug efflux pump RND permease AcrD,b2470,,
multidrug efflux pump RND permease AcrF,b3266,multidrug efflux RND transporter permease,STM3391
multidrug efflux pump RND permease subunit MdtB,b2075,multidrug transporter subunit,STM1482
multidrug efflux pump RND permease subunit MdtC,b2076,multidrug transporter subunit,STM1482
multidrug/spermidine efflux pump membrane subunit MdtI,b1599,spermidine export protein,STM1483
multidrug/spermidine efflux pump membrane subunit MdtJ,b1600,multidrug transporter subunit,STM1482
multifunctional 3-hydroxyacyl-CoA dehydrogenase/3-hydroxyacyl-CoA epimerase/enoyl-CoA hydratase FadJ,b2341,multifunctional fatty acid oxidation complex subunit alpha,STM2388
multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,b0494,multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1,STM0506
"multifunctional enoyl-CoA hydratase, 3-hydroxyacyl-CoA epimerase, &Delta;<sup>3</sup>-<i>cis</i>- &Delta;<sup>2</sup>-<i>trans</i>-enoyl-CoA isomerase, L-3-hydroxyacyl-CoA dehydrogenase",b3846,3-hydroxyacyl-coA dehydrogenase,STM3983
multifunctional nuclease Cas1,b2755,,
multiple antibiotic resistance protein MarB,b1532,multiple antibiotic resistance regulatory periplasmic protein,STM1518
murein hydrolase activator EnvC,b3613,murein hydrolase activator,STM3705
murein hydrolase activator NlpD,b2742,lipoprotein,STM3281
murein lipoprotein,b1677,murein lipoprotein,STM1377
murein tetrapeptide carboxypeptidase,b1192,muramoyltetrapeptide carboxypeptidase,STM1800
murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppD,b1246,oligopeptide ABC transporter ATP-binding protein,STM1742
murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF,b1247,oligopeptide ABC transporter ATP-binding protein,STM1742
murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB,b1244,oligopeptide transporter permease,STM1745
murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppC,b1245,peptide ABC transporter permease,STM1744
murein tripeptide ABC transporter periplasmic binding protein,b1329,periplasmic murein tripeptide transport protein,STM1679
murein tripeptide amidase A,b1326,murein peptide amidase A,STM1680
muropeptide:H<sup>+</sup> symporter,b0433,muropeptide transporter,STM0444
N-acetylglucosamine-specific PTS enzyme IIABC component,b0679,PTS sugar transporter subunit IIA,STM1616
N-acetylglucosaminyl transferase,b0090,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,STM0128
N-acetylglutamate synthase,b2818,amino-acid N-acetyltransferase,STM2992
N-acetylglutamylphosphate reductase,b3958,N-acetyl-gamma-glutamyl-phosphate reductase,STM4121
N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter,b2429,,
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB subunit",b1807,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB subunit",STM1820
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaD subunit",b3064,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaD subunit",STM3208
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaE subunit",b4168,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaE subunit",STM4357
Na<sup>+</sup>/K<sup>+</sup>:H<sup>+</sup> antiporter ChaA,b1216,sodium-potassium/proton antiporter,STM1771
Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA,b0019,Na(+)/H(+) antiporter,STM0039
Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB,b1186,Na+/H+ antiporter,STM4269
NAD kinase,b2615,NAD(+) kinase,STM2683
NAD(P)H-dependent nitroreductase NfsB,b0578,NAD(P)H nitroreductase,STM1296
NAD(P)H-flavin reductase,b3844,nitric oxide reductase,STM2840
NAD(P)H:quinone oxidoreductase,b1004,,
NAD(P)H:quinone oxidoreductase,b4211,NAD(P)-dependent oxidoreductase,STM0933
NAD(P)HX epimerase / NAD(P)HX dehydratase,b4167,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,STM4356
NAD-binding component of Trk potassium transporters,b3290,Trk system potassium transport protein,STM3409
NADH oxidoreductase,b0872,NADH oxidoreductase for hcp gene product,STM0936
NADH:flavorubredoxin reductase,b2711,FAD-dependent oxidoreductase,STM3128
NADH:quinone oxidoreductase II,b1109,respiratory NADH dehydrogenase 2,STM1211
NADH:quinone oxidoreductase subunit A,b2288,NADH-quinone oxidoreductase subunit A,STM2328
NADH:quinone oxidoreductase subunit B,b2287,NADH-quinone oxidoreductase subunit B,STM2327
NADH:quinone oxidoreductase subunit CD,b2286,NADH-quinone oxidoreductase subunit C/D,STM2326
NADH:quinone oxidoreductase subunit E,b2285,NADH-quinone oxidoreductase subunit E,STM2325
NADH:quinone oxidoreductase subunit F,b2284,NADH-quinone oxidoreductase subunit F,STM2324
NADH:quinone oxidoreductase subunit G,b2283,NADH-quinone oxidoreductase subunit G,STM2323
NADH:quinone oxidoreductase subunit H,b2282,NADH-quinone oxidoreductase subunit H,STM2322
NADH:quinone oxidoreductase subunit I,b2281,NADH-quinone oxidoreductase subunit I,STM2321
NADH:quinone oxidoreductase subunit J,b2280,NADH:quinone oxidoreductase subunit J,STM2320
NADH:quinone oxidoreductase subunit K,b2279,NADH-quinone oxidoreductase subunit K,STM2319
NADH:quinone oxidoreductase subunit L,b2278,NADH-quinone oxidoreductase subunit L,STM2318
NADH:quinone oxidoreductase subunit M,b2277,NADH-quinone oxidoreductase subunit A,STM2328
NADH:quinone oxidoreductase subunit N,b2276,NADH-quinone oxidoreductase subunit N,STM2316
NADP<sup>+</sup>-dependent aldehyde reductase,b3003,NAD(P)-dependent oxidoreductase,STM0933
NADP<sup>+</sup>-dependent aldehyde reductase YbbO,b0493,putative oxidoreductase,STM1462
NADP+-dependent glucose-6-phosphate dehydrogenase,b1852,glucose-6-phosphate dehydrogenase,STM1886
NADPH-dependent aldehyde reductase Ahr,b4269,putative alcohol dehydrogenase,STM4486
NADPH-dependent aldehyde reductase YqhD,b3011,NADH-dependent alcohol dehydrogenase,STM3164
NADPH-dependent curcumin/dihydrocurcumin reductase,b1449,putative NADP-dependent oxidoreductase,STM1589
NADPH-dependent ferric-chelate reductase,b3070,NADPH-dependent ferric siderophore reductase,STM3214
NADPH-dependent nitro/quinone reductase NfsA,b0851,nitroreductase A,STM0874
NADPH:quinone oxidoreductase MdaB,b3028,NADPH quinone reductase,STM3179
NanR,b3226,transcriptional regulator,STM2982
NapA signal peptide-binding chaperone NapD,b2207,nitrate reductase,STM2256
"NarW, putative private chaperone for NarZ nitrate reductase subunit",b1466,nitrate reductase molybdenum cofactor assembly chaperone,STM1762
negative modulator of initiation of replication,b0687,replication initiation regulator,STM0697
negative regulator of MalT activity/cystathionine &beta;-lyase,b1622,,
negative regulator of the <i>pho</i> regulon,b3724,phosphate transport system regulatory protein,STM3853
NfeD-like family protein YbbJ,b0488,putative membrane protein implicated in regulation of membrane protease activity,STM0500
NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase,b1740,NAD(+) synthase,STM1310
Ni<sup>2+</sup>/Co<sup>2+</sup> exporter,b2106,nickel/cobalt efflux protein,STM3024
Ni<sup>2+</sup>/Co<sup>2+</sup>/Mg<sup>2+</sup> transporter,b3816,magnesium/cobalt transporter,STM3952
nickel/cobalt stress response protein YfgG,b2504,,
nicotinamidase,b1768,nicotinamidase,STM1293
nicotinamide riboside transporter,b0751,nicotinamide riboside transporter,STM0757
nicotinate phosphoribosyltransferase,b0931,nicotinate phosphoribosyltransferase,STM1004
nicotinate-nucleotide adenylyltransferase,b0639,putative nicotinic acid mononucleotide adenylyltransferase,STM0645
nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase,b1991,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase,
nitrate reductase 1 molybdenum cofactor assembly chaperone,b1226,nitrate reductase molybdenum cofactor assembly chaperone,STM1762
nitrate reductase A subunit &alpha;,b1224,nitrate reductase 1 subunit alpha,STM1764
nitrate reductase A subunit &beta;,b1225,nitrate reductase 1 subunit beta,STM1763
nitrate reductase A subunit &gamma;,b1227,nitrate reductase 1 subunit gamma,STM1761
nitrate reductase Z subunit &alpha;,b1468,nitrate reductase 2 subunit alpha,STM1577
nitrate reductase Z subunit &beta;,b1467,nitrate reductase 2 subunit beta,STM1578
nitrate reductase Z subunit &gamma;,b1465,nitrate reductase 2 subunit gamma,STM1580
nitrate/nitrite transporter NarU,b1469,nitrate/nitrite transporter,STM1765
nitrate:nitrite antiporter NarK,b1223,nitrate/nitrite transporter,STM1765
nitric oxide dioxygenase,b2552,nitric oxide dioxygenase,STM2556
nitrite reductase (NADH) large subunit,b3365,nitrite reductase (NADH large subunit,STM3474
nitrite reductase (NADH) small subunit,b3366,nitrite reductase (NADH) small subunit,STM3475
nitrite transporter NirC,b3367,nitrite transporter,STM3476
nitrogen regulatory protein PII-1,b2553,a PII protein,
nitrogen regulatory protein PII-2,b0450,transcriptional regulator,STM2982
NlpC/P60 family lipoprotein NlpC,b1708,endopeptidase,STM1343
NMN aminohydrolase,b2700,nicotinamide-nucleotide amidase,STM2830
nonspecific DNA-binding protein YbiB,b0800,DNA-binding protein,STM4170
NrdR transcriptional repressor,b0413,transcriptional regulator,STM2982
NTF2-like domain-containing protein YchJ,b1233,hypothetical protein,STM0387
nucleoid occlusion factor SlmA,b3641,nucleoid occlusion factor,STM3732
nucleoid-associated protein RdgC,b0393,recombination-associated protein,STM0392
nucleoid-associated protein SymE,b4347,endoribonuclease,STM4523
nucleoid-associated protein YejK,b2186,nucleoid-associated protein,STM2226
nucleoside diphosphate kinase,b2518,nucleoside-diphosphate kinase,STM2526
nucleoside diphosphate kinase regulator,b0610,nucleoside diphosphate kinase regulator,STM0616
nucleoside phosphorylase PpnP,b0391,pyrimidine/purine nucleoside phosphorylase,STM0391
nucleoside triphosphate pyrophosphatase YhdE,b3248,septum formation inhibitor,STM3371
nucleoside triphosphate pyrophosphohydrolase,b2781,nucleoside triphosphate pyrophosphohydrolase,STM2954
nucleoside-specific channel-forming protein Tsx,b0411,nucleoside-specific channel-forming protein,STM0413
nucleoside:H<sup>+</sup> symporter NupC,b2393,nucleoside permease,STM2409
nucleoside:H<sup>+</sup> symporter NupG,b2964,MFS transporter,STM2574
nucleotide 5'-monophosphate nucleosidase,b2795,LOG family protein,STM2969
nucleotide binding protein YajQ,b0426,putative cytoplasmic protein,STM0383
nucleotide exchange factor GrpE,b2614,HSP-70 cofactor,STM2681
Nus factor SuhB,b2533,inositol monophosphatase,STM2546
O-antigen co-polymerase,b2027,LPS O-antigen chain length determinant protein,STM2079
oligopeptidase A,b3498,oligopeptidase A,STM3594
oligopeptidase B,b1845,oligopeptidase B,STM1879
oligopeptide ABC transporter periplasmic binding protein,b1243,oligopeptide transport protein with chaperone properties,STM1746
oligoribonuclease,b4162,oligoribonuclease,STM4350
ornithine carbamoyltransferase ArgI,b4254,ornithine carbamoyltransferase,STM4469
orotate phosphoribosyltransferase,b3642,orotate phosphoribosyltransferase,STM3733
orotidine-5'-phosphate decarboxylase,b1281,orotidine-5'-phosphate decarboxylase,STM1707
orphan toxin OrtT,b1445,putative inner membrane protein,STM1849
OsmC family protein YhfA,b3356,putative inner membrane protein,STM1849
osmolyte:H<sup>+</sup> symporter ProP,b4111,proline/betaine transporter,STM4290
osmoregulated periplasmic glucans (OPG) biosynthesis protein C,b1047,membrane protein,STM1149
osmoregulated periplasmic glucans biosynthesis protein G,b1048,periplasmic glucans biosynthesis protein,STM1150
osmoregulated periplasmic glucans biosynthesis protein H,b1049,glucan biosynthesis glucosyltransferase H,STM1151
osmotically inducible peroxiredoxin OsmC,b1482,OsmC family peroxiredoxin,STM1563
osmotically-inducible lipoprotein OsmB,b1283,osmotically inducible lipoprotein,STM1705
osmotically-inducible lipoprotein OsmE,b1739,transcriptional regulator,STM2982
outer membrane channel TolC,b3035,,
outer membrane lipoprotein - activator of MrcA activity,b3147,penicillin-binding protein activator,STM3264
outer membrane lipoprotein - activator of MrcB activity,b1105,penicillin-binding protein activator,STM3264
outer membrane lipoprotein Blc,b4149,hypothetical protein,STM0387
outer membrane lipoprotein carrier protein,b0891,lipoate--protein ligase,STM4576
outer membrane lipoprotein LolB,b1209,lipoprotein localization factor,STM1778
outer membrane lipoprotein QseG,b2555,putative transcriptional regulator of two-component regulator protein (EBP familiiy),STM2563
outer membrane lipoprotein SlyB,b1641,Outer membrane lipoprotein,STM1445
outer membrane lipoprotein YbhC,b0772,acyl-CoA thioesterase,STM0786
outer membrane phospholipase A,b3821,phospholipase,STM3957
outer membrane polysaccharide export protein Wza,b2062,polysaccharide exporter,STM2118
outer membrane porin C,b2215,porin,STM4016
outer membrane porin N,b1377,Outer membrane protein N,STM1473
outer membrane porin PhoE,b0241,,
outer membrane protein A,b0957,porin,STM4016
outer membrane protein assembly factor BamA,b0177,outer membrane protein assembly factor,STM2488
outer membrane protein assembly factor BamB,b2512,outer membrane protein assembly factor,STM2488
outer membrane protein assembly factor BamC,b2477,outer membrane protein assembly factor,STM2488
outer membrane protein assembly factor BamD,b2595,outer membrane protein assembly factor,STM2488
outer membrane protein assembly factor BamE,b2617,outer membrane protein assembly factor,STM2488
outer membrane protein W,b1256,outer membrane protein,STM0833
outer membrane protein X,b0814,outer membrane protein,STM0833
oxidoreductase UcpA,b2426,NAD(P)-dependent oxidoreductase,STM0933
P-loop guanosine triphosphatase YjiA,b4352,putative cobalamin synthesis protein,STM4530
P-loop NTPase family protein Mrp,b2113,[Fe-S]-cluster carrier/transfer protein ApbC,STM2154
palmitoleoyl acyltransferase,b2378,lipid A biosynthesis palmitoleoyl acyltransferase,STM2401
PanD maturation factor,b3459,PanD maturation factor,STM3565
pantetheine-phosphate adenylyltransferase,b3634,pantetheine-phosphate adenylyltransferase,STM3725
pantothenate kinase,b3974,type I pantothenate kinase,STM4139
pantothenate synthetase,b0133,pantoate--beta-alanine ligase,STM0181
pantothenate:Na+ symporter,b3258,sodium/panthothenate symporter,STM3382
ParB-like nuclease domain-containing protein YbdM,b0601,putative transcriptional regulator,STM3696
PBP1B&gamma;,b0149,penicillin-binding protein 1B,STM0190
penicillin binding protein 4B,b2430,,
peptidase component of the HslVU protease,b3932,HslU--HslV peptidase proteolytic subunit,STM4092
peptidase D,b0237,cytosol nonspecific dipeptidase,STM0316
peptidase E,b4021,dipeptidase E,STM4190
peptidase M16 family protein YhjJ,b3527,putative Zn-dependent peptidase,STM3613
peptidase T,b1127,aminotripeptidase,STM1227
peptide antibiotic/peptide nucleic acid transporter,b0377,peptide transporter,STM0376
peptide chain release factor RF1,b1211,peptide chain release factor 1,STM1776
peptide chain release factor RF2,b2891,peptide chain release factor RF-2,STM3041
peptide chain release factor RF3,b4375,peptide chain release factor 3,STM4560
peptide deformylase,b3287,peptide deformylase,STM3406
peptide&mdash;spermidine ligase YgiC,b3038,putative glutathionylspermidine synthase,STM3188
peptide&mdash;spermidine ligase YjfC,b4186,putative glutathionylspermidine synthase,STM3188
peptidoglycan <i>meso</i>-diaminopimelic acid protein amidase A,b0224,transpeptidase,STM0312
peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,b0376,penicillin- binding protein,STM0375
peptidoglycan DD-endopeptidase DacB,b3182,serine-type D-Ala-D-Ala carboxypeptidase,STM0863
peptidoglycan DD-endopeptidase PbpG,b2134,D-alanyl-D-alanine endopeptidase,STM2168
peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,b2328,penicillin-insensitive murein endopeptidase,STM2383
peptidoglycan DD-transpeptidase FtsI,b0084,peptidoglycan glycosyltransferase,STM0122
peptidoglycan DD-transpeptidase MrdA,b0635,penicillin-binding protein 2,STM1910
peptidoglycan endopeptidase MepM,b1856,murein DD-endopeptidase,STM1890
"peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase",b2175,bifunctional murein DD-endopeptidase/murein LD-carboxypeptidase,STM2214
"peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase MepH",b1655,putative cell wall-associated hydrolase,STM1432
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA,b3396,peptidoglycan synthetase,STM3493
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB,b0149,penicillin-binding protein 1B,STM0190
peptidoglycan glycosyltransferase FtsW,b0089,cell division protein,STM0994
peptidoglycan glycosyltransferase MrdB,b0634,rod shape-determining protein,STM3372
peptidoglycan glycosyltransferase MtgA,b3208,monofunctional biosynthetic peptidoglycan transglycosylase,STM3326
peptidoglycan glycosyltransferase PbpC,b2519,penicillin-binding protein 1C,STM2531
"peptidoglycan L,D-endopeptidase",b0926,putative outer membrane protein,PSLT015
peptidoglycan-associated outer membrane lipoprotein Pal,b0741,,
peptidyl-dipeptidase Dcp,b1538,dipeptidyl carboxypeptidase II,STM1512
